# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	246674
#@/user_id	b6ca52f1-d1be-4cc2-9d07-aa8b3716d1d6
a 	吖	c=1 d=3.14571e-306 t=246674
ci en ce 	慈恩側	c=1 d=1 t=177366
ci fa 	詞法	c=3 d=1.28502e-146 t=246674
ci fang fa 	此方法	c=12 d=1.33704e-14 t=246674
ci fen zhi 	此分支	c=2 d=3.25098e-303 t=246674
ci gong chang 	此工廠	c=1 d=2.05028e-270 t=246674
ci gong ju 	此工具	c=2 d=1.97045 t=168760
ci gong si 	此公司	c=1 d=1 t=235810
ci han shu 	此函數	c=1 d=2.62792e-14 t=246674
ci hou 	此後	c=1 d=1.63343e-08 t=246674
ci hui 	詞彙	c=0 d=1.90722e-38 t=246674
ci ji 	刺激	c=1 d=1.33654e-236 t=246674
ci ji chu shang 	此基礎上	c=1 d=3.46091e-18 t=246674
ci jie kou 	此接口	c=9 d=1.10566e-64 t=246674
ci jiu ying xin 	辞旧迎新	c=1 d=6.19994e-259 t=246674
ci ku 	詞庫	c=2 d=0.923116 t=246674
ci kuang jia 	此框架	c=1 d=1 t=201484
ci lei 	此類	c=22 d=7.58385e-12 t=246674
ci lei xing 	此類型	c=2 d=2.39839e-27 t=246674
ci mo 	次末	c=1 d=1 t=165621
ci mo kai 	此模楷	c=1 d=2.9617e-244 t=246674
ci mo kuai 	此模塊	c=3 d=1.41609e-32 t=246674
ci mo shi 	此模式	c=7 d=3.62564e-65 t=246674
ci mo tiao 	次末跳	c=1 d=1 t=165612
ci mo xing 	此模型	c=2 d=3.80059e-13 t=246674
ci nei cun 	此內存	c=1 d=2.69527e-47 t=246674
ci pan 	磁盤	c=9 d=1.25989e-12 t=246674
ci qian 	此前	c=3 d=1.37751e-62 t=246674
ci qu yu 	此區域	c=9 d=1.70864e-45 t=246674
ci shan 	慈善	c=1 d=8.67684e-184 t=246674
ci shao di 	此哨笛	c=1 d=3.58605e-171 t=246674
ci shi 	此時	c=29 d=1.19824e-10 t=246674
ci shu 	次數	c=28 d=3.75363e-10 t=246674
ci shu yi ji pin lv 	次數以及頻率	c=1 d=1 t=174573
ci tiao 	詞條	c=1 d=1.26768e-202 t=246674
ci tiao jian 	此條件	c=1 d=7.43597e-45 t=246674
ci wai 	此外	c=4 d=3.45797e-08 t=246674
ci wen dang 	此文檔	c=1 d=1.02584e-06 t=246674
ci wen ti 	此問題	c=2 d=1.18354e-100 t=246674
ci xiang 	此項	c=2 d=4.06682e-63 t=246674
ci xiang mu 	此項目	c=16 d=0.00204983 t=246674
ci xie yi 	此協議	c=1 d=1 t=152419
ci xing 	磁性	c=4 d=8.06411e-146 t=246674
ci yong hu 	此用戶	c=1 d=2.79558e-212 t=246674
ci zhi 	次之	c=1 d=1 t=175287
ci zhu jie 	此註解	c=13 d=4.31917e-36 t=246674
ci zhu shi 	此註釋	c=1 d=1.81461e-304 t=246674
ci zhu ti 	此主題	c=2 d=4.34216e-69 t=246674
ci zi duan 	此字段	c=1 d=1 t=154566
cong 	從	c=284 d=1.00227 t=246674
cong bu 	從不	c=3 d=1.19321e-225 t=246674
cong chu lai 	從出來	c=1 d=3.92602e-119 t=246674
cong ci 	從此	c=1 d=4.3635e-156 t=246674
cong da xue 	從大學	c=1 d=1 t=239229
cong dang qian 	從當前	c=1 d=1 t=146623
cong di dao gao 	從低到高	c=1 d=1.34666e-119 t=246674
cong di dao gao shun xu wei 	從低到高順序爲	c=1 d=8.20884e-120 t=246674
cong er 	從而	c=24 d=0.203968 t=246674
cong er jue ding 	從而決定	c=1 d=1 t=169367
cong fu 	從父	c=0 d=0.1 t=146682
cong fu mo kuai 	從父模塊	c=1 d=1 t=146683
cong gao ceng 	從高層	c=1 d=1 t=154295
cong hou 	從後	c=1 d=2.52377e-97 t=246674
cong hua 	從化	c=1 d=1.68263e-298 t=246674
cong jie gou ti 	從結構體	c=1 d=1 t=144026
cong lai 	從來	c=27 d=0.000578221 t=246674
cong li shi 	從歷史	c=1 d=7.35531e-240 t=246674
cong mei 	從沒	c=2 d=3.80391e-159 t=246674
cong ming 	聰明	c=3 d=3.07167e-173 t=246674
cong na 	從哪	c=2 d=1.4186e-143 t=246674
cong na li 	從哪裏	c=2 d=1.62883e-63 t=246674
cong qi ta 	從其他	c=1 d=1 t=160758
cong qian 	從前	c=1 d=1.97482e-35 t=246674
cong shang 	從上	c=3 d=1 t=211972
cong shang tu 	從上圖	c=1 d=2.31087e-119 t=246674
cong shi 	從事	c=4 d=1.94575e-37 t=246674
cong tou 	從頭	c=1 d=1.53885e-306 t=246674
cong wei 	從未	c=1 d=1 t=173011
cong xia 	從下	c=0 d=2.31794e-09 t=246674
cong xia you 	從下遊	c=1 d=2.32956e-08 t=246674
cong xian zai 	從現在	c=1 d=2.26482e-235 t=246674
cong xiao 	從小	c=9 d=1.28661e-16 t=246674
cong xun huan 	從循環	c=1 d=1 t=142358
cong ye 	從業	c=1 d=1 t=199853
cong ye zhe 	從業者	c=1 d=2.58741e-184 t=246674
cong yong hu 	從用戶	c=1 d=3.782e-238 t=246674
cong yuan 	從源	c=2 d=5.11516e-17 t=246674
cong zhe ge 	從這個	c=1 d=6.68395e-261 t=246674
cong zhe li 	從這裏	c=1 d=1 t=211912
cong zhe tiao yu ju 	從這條語句	c=1 d=2.41387e-132 t=246674
cong zheng 	從政	c=4 d=1.09699e-139 t=246674
cong zhong 	叢中	c=1 d=6.44104e-61 t=246674
cong zhong 	從中	c=3 d=8.44239e-09 t=246674
cong zi fu 	從字符	c=1 d=1 t=148186
cong zuo 	從左	c=2 d=6.51623e-168 t=246674
cou gou 	湊夠	c=1 d=6.41428e-150 t=246674
cou gou le 	湊夠了	c=1 d=5.8871e-150 t=246674
cu 	簇	c=2 d=1.99501 t=165084
cu 	醋	c=5 d=6.36499e-186 t=246674
cu lve 	粗略	c=1 d=4.0212e-283 t=246674
cu xiao 	促銷	c=1 d=1 t=176138
cuan 	竄	c=1 d=1.08504e-254 t=246674
cuan gai 	篡改	c=3 d=1.73712 t=170727
cui 	催	c=2 d=0.000163682 t=246674
cui cui ta men 	催催他們	c=1 d=0.00164502 t=246674
cui gao 	催告	c=0 d=0.1 t=153220
cui ruo 	脆弱	c=2 d=7.43754e-165 t=246674
cun 	存	c=22 d=6.17382e-33 t=246674
cun 	寸	c=10 d=0.00663889 t=246674
cun 	村	c=2 d=2.54697e-88 t=246674
cun chu 	存儲	c=77 d=1.32859e-19 t=246674
cun chu ju bu 	存儲局部	c=1 d=3.3251e-47 t=246674
cun chu xin shu ju 	存儲新數據	c=1 d=1 t=142535
cun chu xing 	存儲型	c=1 d=1 t=234401
cun chu zai 	存儲在	c=5 d=1 t=200692
cun dang 	存檔	c=3 d=6.22883e-68 t=246674
cun de 	存的	c=2 d=1.77147e-80 t=246674
cun fang 	存放	c=15 d=4.3687e-06 t=246674
cun fang dao 	存放到	c=1 d=3.93736e-06 t=246674
cun fang yu 	存放與	c=1 d=1 t=174285
cun fang zhe 	存放着	c=1 d=1.8659e-44 t=246674
cun huo 	存活	c=1 d=1 t=200920
cun huo 	存貨	c=1 d=1 t=200919
cun kuan 	存款	c=5 d=6.3432e-28 t=246674
cun le 	存了	c=1 d=4.17843e-58 t=246674
cun li 	村裏	c=1 d=3.37412e-219 t=246674
cun min 	村民	c=1 d=6.18388e-111 t=246674
cun qi lai 	存起來	c=2 d=1.97469e-93 t=246674
cun qian 	存錢	c=1 d=1 t=209940
cun qu 	存取	c=2 d=1 t=192452
cun shang 	村上	c=1 d=2.7657e-262 t=246674
cun xia 	存下	c=1 d=1.77286e-148 t=246674
cun xia liang dian 	存下亮點	c=1 d=4.97742e-234 t=246674
cun yu 	存於	c=2 d=2.44102e-207 t=246674
cun zai 	存在	c=104 d=1.33902e-10 t=246674
cun zai shi wu 	存在事務	c=1 d=1.33394e-125 t=246674
cuo 	搓	c=4 d=1.07153e-48 t=246674
cuo 	錯	c=24 d=3.21412e-30 t=246674
cuo bai 	挫敗	c=1 d=1.00063 t=196075
cuo bai gan 	挫敗感	c=1 d=1 t=195062
cuo bie zi 	錯別字	c=8 d=1.10915 t=239060
cuo de 	錯的	c=6 d=2.7063e-95 t=246674
cuo guo 	錯過	c=3 d=1 t=241670
cuo jie 	錯接	c=1 d=1 t=195619
cuo jue 	錯覺	c=1 d=1 t=195620
cuo le 	搓了	c=1 d=2.89969e-201 t=246674
cuo le 	错了	c=16 d=7.73574e-10 t=246674
cuo luan 	錯亂	c=1 d=1 t=156651
cuo shi 	措施	c=2 d=1 t=204100
cuo wu 	錯誤	c=238 d=0.008396 t=246674
cuo wu fa sheng 	錯誤發生	c=1 d=7.21398e-12 t=246674
cuo wu ji xu 	錯誤繼續	c=1 d=1.66269e-11 t=246674
cuo wu ma 	錯誤碼	c=1 d=5.43545e-299 t=246674
cuo zi 	錯字	c=0 d=0.1 t=152583
cuo zuo 	錯做	c=1 d=1 t=143398
da 	噠	c=1 d=1 t=206646
da 	大	c=109 d=0.0119153 t=246674
da 	打	c=163 d=0.00916297 t=246674
da 	搭	c=13 d=0.000413853 t=246674
da 	答	c=6 d=2.8596e-08 t=246674
da 	達	c=2 d=7.77426e-39 t=246674
da an 	答案	c=22 d=1.53886e-31 t=246674
da ba 	打把	c=1 d=4.14222e-132 t=246674
da bao 	大包	c=1 d=1 t=167816
da bao 	打包	c=74 d=9.50154e-09 t=246674
da bao shi 	打包時	c=1 d=4.17887e-118 t=246674
da bi 	大筆	c=0 d=8.30465e-228 t=246674
da bi sai 	打比賽	c=1 d=5.59219e-163 t=246674
da bian 	大便	c=3 d=1.13406e-250 t=246674
da bian 	答辯	c=9 d=4.38759e-153 t=246674
da biao 	達標	c=2 d=1.24288 t=235438
da biao ge 	大表哥	c=1 d=7.26897e-160 t=246674
da bu 	大部	c=0 d=2.77254e-57 t=246674
da bu 	打不	c=0 d=0.00916297 t=246674
da bu chu 	答不出	c=0 d=0.1 t=198406
da bu chu lai 	打不出來	c=1 d=1.53958e-194 t=246674
da bu chu lai 	答不出來	c=1 d=1 t=198407
da bu da 	大不大	c=2 d=1.99501 t=242066
da bu da 	打不打	c=3 d=0.092089 t=246674
da bu dao 	達不到	c=1 d=1.08183e-278 t=246674
da bu dong 	打不動	c=2 d=1 t=231173
da bu fen 	大部分	c=10 d=7.79331e-09 t=246674
da bu jin qu 	打不進去	c=2 d=1.00182 t=219470
da bu kai 	打不開	c=5 d=2.09444e-21 t=246674
da bu kai le 	打不開了	c=1 d=1.22291e-132 t=246674
da bu lai 	打不來	c=2 d=1.8666e-19 t=246674
da bu liao 	打不了	c=4 d=3.77823e-50 t=246674
da bu luo 	大部落	c=2 d=1 t=215780
da bu shang lai 	答不上來	c=1 d=8.25253e-153 t=246674
da bu shi jian 	大部時間	c=1 d=2.78644e-56 t=246674
da bu tong 	打不通	c=1 d=3.84133e-39 t=246674
da chang 	大廠	c=10 d=1.00001 t=246039
da chang 	大昌	c=2 d=1 t=240209
da chang 	大腸	c=2 d=1.04832 t=240816
da cheng 	打成	c=1 d=7.07269e-279 t=246674
da cheng 	達成	c=2 d=1 t=162593
da cheng shi 	大城市	c=1 d=1 t=217544
da chong 	大蟲	c=0 d=1.0953e-160 t=246674
da chong zi 	大蟲子	c=1 d=1.10079e-159 t=246674
da chu 	搭出	c=0 d=0.1 t=198442
da chu lai 	打出來	c=3 d=4.48765e-45 t=246674
da chu lai 	搭出來	c=1 d=1 t=198443
da chu lai 	答出來	c=1 d=2.00755e-140 t=246674
da chu xue 	大出血	c=1 d=8.45459e-261 t=246674
da chuang 	大創	c=2 d=1 t=177137
da cuo le 	打錯了	c=4 d=1.92791e-105 t=246674
da da 	大大	c=4 d=2.02118e-102 t=246674
da da 	打打	c=4 d=2.54134e-61 t=246674
da dao 	大道	c=0 d=0.1 t=158214
da dao 	打到	c=4 d=8.24305e-25 t=246674
da dao 	達到	c=10 d=2.62889e-10 t=246674
da de 	大的	c=1 d=5.54067e-113 t=246674
da de 	打得	c=2 d=6.20787e-39 t=246674
da de 	打的	c=5 d=1.56336e-51 t=246674
da dei 	打得	c=1 d=3.88063e-188 t=246674
da dei duo 	大得多	c=1 d=1.23327e-143 t=246674
da dian 	大殿	c=1 d=1 t=204582
da dian 	打點	c=8 d=1 t=238884
da dian hua 	打電話	c=18 d=0.00162053 t=246674
da diao 	打掉	c=1 d=8.77534e-111 t=246674
da dong zuo 	大動作	c=2 d=1.99005 t=159780
da dou 	大豆	c=1 d=1.10184e-82 t=246674
da dou 	大都	c=4 d=2.42497e-39 t=246674
da dou 	打鬥	c=1 d=3.34087e-132 t=246674
da dou shi 	大都是	c=2 d=2.35154e-171 t=246674
da duan 	打斷	c=0 d=1.40181e-151 t=246674
da duan dian 	打斷點	c=1 d=1.40884e-150 t=246674
da dui 	打對	c=1 d=1 t=149489
da duo 	大多	c=5 d=0.0104109 t=246674
da duo shu 	大多數	c=15 d=4.70251e-07 t=246674
da duo shu cao zuo fu 	大多數操作符	c=1 d=7.27138e-17 t=246674
da er 	大二	c=14 d=1.58591e-43 t=246674
da er duo 	大耳朵	c=1 d=1.23494e-12 t=246674
da fan chuan 	大帆船	c=1 d=9.15652e-170 t=246674
da fan wei 	大範圍	c=1 d=2.48038e-187 t=246674
da fang 	大方	c=1 d=2.40561e-268 t=246674
da fen 	打分	c=2 d=1 t=235250
da feng 	大風	c=1 d=1 t=202131
da fu 	答覆	c=1 d=1 t=243644
da gai 	大改	c=1 d=1.09956e-234 t=246674
da gai 	大概	c=45 d=2.2444e-11 t=246674
da gai lv 	大概率	c=10 d=0.0057994 t=246674
da gai qing kuang 	大概情況	c=1 d=1 t=163078
da gai shi 	大概是	c=2 d=1 t=216125
da ge 	大哥	c=1 d=1 t=185286
da ge 	打個	c=4 d=2.35162e-60 t=246674
da ge 	打嗝	c=1 d=1 t=191062
da ge gong 	打個工	c=1 d=9.98584e-190 t=246674
da gei ni 	打給你	c=1 d=8.52186e-266 t=246674
da geng xin 	大更新	c=1 d=5.32545e-235 t=246674
da gong 	打工	c=5 d=8.17451e-12 t=246674
da gong si 	大公司	c=22 d=0.27217 t=246674
da gou 	打勾	c=1 d=1 t=172098
da guai 	打怪	c=1 d=3.60107e-132 t=246674
da gui mo 	大規模	c=1 d=1.14833e-127 t=246674
da guo 	打過	c=4 d=7.37625e-09 t=246674
da guo qu 	打過去	c=1 d=1.45847e-175 t=246674
da hao 	大號	c=1 d=1.70334e-148 t=246674
da hao 	搭好	c=1 d=1 t=188872
da hua 	答話	c=1 d=1.85288e-138 t=246674
da ji 	大雞	c=0 d=9.21144e-65 t=246674
da ji 	打擊	c=3 d=1.26853e-63 t=246674
da ji ba 	大雞吧	c=1 d=9.25761e-64 t=246674
da jia 	大家	c=29 d=4.38907e-19 t=246674
da jia 	打架	c=4 d=3.82375e-132 t=246674
da jian 	大劍	c=2 d=2.28208e-174 t=246674
da jian 	搭建	c=97 d=0.00377893 t=246674
da jian bu zhou 	搭建步驟	c=1 d=9.80739e-125 t=246674
da jiao dao 	打交道	c=5 d=1.01305e-06 t=246674
da jie 	大街	c=3 d=2.82365e-65 t=246674
da jin 	打進	c=3 d=1.86175e-17 t=246674
da ju 	大局	c=2 d=0.1 t=194682
da ju guan 	大局關	c=1 d=1 t=194683
da ka 	打卡	c=59 d=1.69307e-39 t=246674
da ka jin yan 	打卡禁言	c=2 d=2.34962e-50 t=246674
da kai 	打開	c=67 d=2.57098e-21 t=246674
da kong 	打孔	c=1 d=4.78028e-141 t=246674
da kuo hao 	大括號	c=10 d=1 t=189799
da lan 	打爛	c=2 d=1.19301 t=186295
da lao 	大佬	c=46 d=5.32484e-28 t=246674
da lao men 	大佬們	c=2 d=1.57388e-71 t=246674
da lao ye 	大老爺	c=0 d=2.93598e-25 t=246674
da lao ye men 	大老爺們	c=1 d=2.9507e-24 t=246674
da le 	大了	c=2 d=5.2837e-25 t=246674
da le 	打了	c=17 d=3.80311e-39 t=246674
da le 	搭了	c=2 d=7.82337e-113 t=246674
da le ge 	打了個	c=1 d=2.23101e-117 t=246674
da liang 	大量	c=35 d=3.94541e-30 t=246674
da lou 	大樓	c=2 d=1.49257 t=176881
da lu 	大陸	c=8 d=1.37007e-20 t=246674
da ma 	大媽	c=3 d=7.9442e-165 t=246674
da man 	打滿	c=2 d=1.6983e-25 t=246674
da man 	達曼	c=1 d=3.55517e-40 t=246674
da mi 	打謎	c=0 d=7.55815e-120 t=246674
da mi yu 	打謎語	c=1 d=7.59603e-119 t=246674
da mian 	大面	c=1 d=1 t=156239
da mian ji 	大面積	c=1 d=1 t=156244
da mie 	噠咩	c=1 d=1 t=174149
da ming ding ding 	大名鼎鼎	c=1 d=1 t=212557
da mu biao 	大目標	c=1 d=9.18639e-32 t=246674
da nai 	大奶	c=1 d=7.59893e-241 t=246674
da nao 	大腦	c=2 d=3.5031e-131 t=246674
da nao ke 	打腦殼	c=1 d=7.06759e-153 t=246674
da nia 	大孃	c=1 d=1 t=153208
da niang 	大娘	c=1 d=5.64628e-188 t=246674
da niu 	大牛	c=0 d=0.1 t=213218
da niu zi 	大牛子	c=1 d=1 t=213219
da pai 	打牌	c=3 d=3.53684e-38 t=246674
da pei 	搭配	c=1 d=1 t=146803
da peng 	大鵬	c=0 d=0.1 t=173736
da pi liang 	大批量	c=1 d=1 t=174668
da po 	打破	c=11 d=6.58745e-37 t=246674
da qi 	大氣	c=0 d=1.0286e-68 t=246674
da qi lai 	打起來	c=2 d=4.99398e-38 t=246674
da qi ye 	大企業	c=2 d=1.99501 t=242925
da qing zao 	大清早	c=1 d=8.69106e-262 t=246674
da rao 	打擾	c=0 d=4.83043e-59 t=246674
da rao dao 	打擾到	c=1 d=1 t=185751
da rao wo 	打擾我	c=1 d=1.08666e-301 t=246674
da ren 	大人	c=2 d=4.28935e-219 t=246674
da ru 	打入	c=1 d=1 t=239573
da ru dian 	打入點	c=1 d=1 t=238503
da sai 	大賽	c=6 d=5.80039e-05 t=246674
da san 	大三	c=10 d=9.98777e-16 t=246674
da sao 	打掃	c=1 d=1 t=167034
da sha 	打啥	c=2 d=7.04118e-109 t=246674
da shang 	打上	c=2 d=2.30953e-24 t=246674
da shang 	搭上	c=0 d=1.9285e-139 t=246674
da shang hua 	搭上話	c=1 d=1.93817e-138 t=246674
da shang lai 	答上來	c=2 d=1 t=243637
da she 	大蛇	c=1 d=3.4777e-163 t=246674
da shen 	大神	c=2 d=7.12087e-169 t=246674
da shen me 	打什麼	c=1 d=3.93928e-188 t=246674
da sheng 	大勝	c=0 d=5.46194e-269 t=246674
da shi 	大事	c=1 d=8.71135e-25 t=246674
da shi 	大師	c=11 d=3.81685e-52 t=246674
da shi 	打溼	c=1 d=1 t=243981
da shou 	大受	c=0 d=1.12303e-160 t=246674
da shou qian xiao shou 	大手牽小手	c=1 d=1 t=144505
da shou zhen han 	大受震撼	c=1 d=1.12866e-159 t=246674
da shu ju 	大數據	c=49 d=0.323033 t=246674
da shu ju kai fa 	大數據開發	c=1 d=2.83675e-90 t=246674
da shu ju xue yuan 	大數據學院	c=2 d=1 t=200208
da si 	大四	c=6 d=3.16411e-22 t=246674
da si 	大肆	c=1 d=1.02208e-51 t=246674
da si 	打死	c=2 d=2.57782e-111 t=246674
da si xuan chuan 	大肆宣传	c=1 d=9.82004e-52 t=246674
da suan 	打算	c=22 d=4.73912e-10 t=246674
da sui dao 	打隧道	c=1 d=1 t=157955
da ta 	打他	c=1 d=1 t=174099
da tai qiu 	打檯球	c=1 d=1.44258e-105 t=246674
da ti 	答題	c=2 d=1.00123 t=198781
da ti si lu 	答題思路	c=1 d=1 t=196622
da ting 	打聽	c=1 d=2.32872e-180 t=246674
da tong 	打通	c=2 d=1 t=238423
da tu po 	大突破	c=1 d=1.11181e-41 t=246674
da wan 	打完	c=9 d=1.49615e-34 t=246674
da wan le 	打完了	c=1 d=1 t=200354
da wei 	大衛	c=1 d=1.40687e-164 t=246674
da wei da da wai sa 	大衛大大外撒	c=1 d=1 t=171679
da wen jian 	大文件	c=4 d=1.61566e-232 t=246674
da wen ti 	大問題	c=2 d=1.80013e-63 t=246674
da xian cheng 	大線程	c=1 d=4.81082e-304 t=246674
da xiang mu 	大項目	c=1 d=5.06379e-113 t=246674
da xiao 	大小	c=63 d=3.33856e-07 t=246674
da xiao 	打小	c=0 d=9.13006e-137 t=246674
da xiao chao 	打小抄	c=1 d=9.17583e-136 t=246674
da xiao xie 	大小寫	c=6 d=1.28189e-98 t=246674
da xie 	大些	c=1 d=1.37827e-186 t=246674
da xie 	大寫	c=6 d=2.45853e-83 t=246674
da xin 	大新	c=1 d=1 t=142637
da xing 	大型	c=17 d=1.92129e-30 t=246674
da xing 	大興	c=1 d=1.58533e-215 t=246674
da xiong 	大胸	c=1 d=1.64203e-246 t=246674
da xue 	大學	c=56 d=0.113042 t=246674
da xue 	大雪	c=1 d=1.29043e-176 t=246674
da xue sheng 	大學生	c=18 d=5.71404e-05 t=246674
da xue shi 	大學時	c=1 d=1 t=239230
da xue shi guang 	大學時光	c=1 d=1 t=196564
da xue xi 	打学习	c=1 d=2.92447e-301 t=246674
da ya 	大牙	c=1 d=2.72099e-188 t=246674
da ya 	打壓	c=1 d=1 t=223650
da yan 	大眼	c=1 d=1.62569e-246 t=246674
da yan jing 	大眼睛	c=2 d=3.92336e-250 t=246674
da yan ta 	大雁塔	c=1 d=5.41325e-104 t=246674
da ye 	大爺	c=1 d=5.78355e-294 t=246674
da yi 	大一	c=11 d=1.88724e-50 t=246674
da yi 	大衣	c=2 d=9.2718e-82 t=246674
da yi dian 	大一點	c=2 d=1.07025e-34 t=246674
da yi ge 	打一個	c=1 d=2.38295e-98 t=246674
da yi ma 	大姨媽	c=1 d=1 t=193779
da yi xia 	大一下	c=1 d=1.59015e-280 t=246674
da yin 	打印	c=94 d=0.000700796 t=246674
da yin ge 	打印個	c=1 d=1 t=172007
da yin ji 	打印機	c=9 d=4.74048 t=245015
da yin xia 	打印下	c=1 d=1 t=172016
da ying 	答應	c=4 d=1.54202e-07 t=246674
da yong 	大用	c=1 d=4.92905e-178 t=246674
da you xi 	打遊戲	c=15 d=8.93978e-06 t=246674
da yu 	大於	c=14 d=7.18144e-47 t=246674
da yu chi xiao yu 	大魚喫小魚	c=1 d=1 t=215683
da yu deng yu 	大於等於	c=1 d=1.71281e-125 t=246674
da yue 	大約	c=1 d=1 t=163631
da zai 	搭在	c=1 d=6.79718e-194 t=246674
da zhao hu 	打招呼	c=1 d=7.27074e-251 t=246674
da zhe 	打折	c=1 d=5.08176e-184 t=246674
da zhe 	打着	c=1 d=4.24609e-189 t=246674
da zhe da zhe 	打着打着	c=1 d=4.26737e-188 t=246674
da zheng 	大正	c=1 d=1 t=168215
da zhi 	大致	c=2 d=6.37933e-36 t=246674
da zhi lao 	大只佬	c=1 d=1 t=198277
da zhuang 	打樁	c=1 d=1 t=241423
da zi 	大字	c=2 d=0.0655462 t=246674
da zi 	打字	c=5 d=0.132412 t=246674
da zi ji 	打字機	c=6 d=3.45187 t=220524
da zi ran 	大自然	c=1 d=1 t=196221
da zuo ye 	大作業	c=1 d=1 t=176333
dai 	代	c=5 d=6.06944e-09 t=246674
dai 	呆	c=3 d=3.24003e-95 t=246674
dai 	帶	c=34 d=0.748264 t=246674
dai 	待	c=12 d=0.00115047 t=246674
dai 	戴	c=2 d=4.30436e-25 t=246674
dai 	貸	c=2 d=1.13946 t=207456
dai biao 	代表	c=42 d=9.51553e-05 t=246674
dai bu dai 	帶不帶	c=1 d=2.27959e-282 t=246674
dai bu dong 	帶不動	c=1 d=1 t=175948
dai bu shang 	帶不上	c=1 d=1 t=191114
dai bu xia qu 	待不下去	c=1 d=1 t=245782
dai can 	帶參	c=2 d=8.68774e-97 t=246674
dai ci 	代詞	c=1 d=6.0604e-109 t=246674
dai dai 	帶帶	c=2 d=2.34677e-212 t=246674
dai dao 	待到	c=1 d=1 t=185538
dai dao 	逮到	c=0 d=0.1 t=188113
dai dao guo 	逮到過	c=1 d=1 t=188114
dai de 	帶的	c=1 d=1.08881e-236 t=246674
dai dui 	帶隊	c=1 d=1 t=221348
dai er 	代爾	c=0 d=2.84633e-160 t=246674
dai ge ren 	帶個人	c=1 d=1.67068e-38 t=246674
dai gei wo 	帶給我	c=1 d=1 t=210090
dai gou 	代購	c=2 d=1.4551e-89 t=246674
dai hao 	代號	c=2 d=1 t=198335
dai huan 	代換	c=1 d=7.37578e-67 t=246674
dai hui 	待會	c=5 d=3.41486e-125 t=246674
dai ji 	待機	c=1 d=2.72088e-70 t=246674
dai jia 	代價	c=5 d=3.74597e-08 t=246674
dai jian 	待見	c=0 d=3.36939e-86 t=246674
dai jin 	帶勁	c=1 d=1.34624e-86 t=246674
dai jin 	殆盡	c=0 d=0.1 t=230693
dai juan 	帶卷	c=1 d=1 t=156788
dai kai 	代開	c=0 d=3.40839e-280 t=246674
dai kai fa 	代開發	c=1 d=3.42548e-279 t=246674
dai kai fa 	待開發	c=3 d=8.66475e-197 t=246674
dai ke 	代課	c=2 d=5.11197e-157 t=246674
dai kou zhao 	戴口罩	c=1 d=1 t=224073
dai kuai 	帶快	c=1 d=3.16973e-131 t=246674
dai kuan 	帶寬	c=49 d=0.00129679 t=246674
dai kuan 	貸款	c=1 d=1.74576e-202 t=246674
dai lai 	帶來	c=5 d=1.49071e-50 t=246674
dai le 	帶了	c=1 d=9.7904e-134 t=246674
dai li 	代理	c=264 d=2.37267e-09 t=246674
dai li 	帶離	c=0 d=0.1 t=197466
dai li dao 	代理到	c=1 d=6.51174e-13 t=246674
dai li fu wu qi 	代理服務器	c=3 d=1.3675e-70 t=246674
dai li lei 	代理類	c=2 d=8.09345e-122 t=246674
dai li xian chang 	帶離現場	c=1 d=1 t=197467
dai liang 	玳梁	c=1 d=1 t=228073
dai ling 	帶領	c=12 d=1.99501 t=236115
dai ma 	代嗎	c=3 d=1.48651e-304 t=246674
dai ma 	代碼	c=759 d=0.881352 t=246674
dai ma kuai 	代碼塊	c=26 d=0.000384452 t=246674
dai ma liang 	代碼量	c=1 d=3.03884e-223 t=246674
dai ma lu jing 	代碼路徑	c=1 d=1 t=146209
dai ma sheng cheng 	代碼生成	c=1 d=1 t=178331
dai ma shi li 	代碼示例	c=1 d=1.70752e-118 t=246674
dai ma xiang tong 	代碼相同	c=1 d=1 t=145734
dai ma zhong 	代碼中	c=3 d=0.0395575 t=246674
dai ming 	待命	c=1 d=1 t=162960
dai ni 	帶你	c=3 d=1.23864e-87 t=246674
dai ni qu 	帶你去	c=1 d=1.11185e-159 t=246674
dai ni shang 	帶你上	c=1 d=5.82692e-88 t=246674
dai nian 	歹念	c=1 d=4.42159e-47 t=246674
dai quan lu jing 	帶全路徑	c=1 d=4.83176e-120 t=246674
dai ren 	帶人	c=5 d=3.61203e-133 t=246674
dai shang 	帶上	c=1 d=9.20957e-91 t=246674
dai shou 	代收	c=1 d=1 t=174253
dai shu 	代數	c=2 d=1.15472e-251 t=246674
dai ti 	代替	c=24 d=8.48616e-11 t=246674
dai ti ni 	代替你	c=1 d=3.39601e-295 t=246674
dai tou 	帶頭	c=1 d=1.61726e-273 t=246674
dai tou ren 	帶頭人	c=1 d=1 t=166481
dai tu 	帶土	c=3 d=3.54573e-246 t=246674
dai wo 	帶我	c=7 d=9.78667e-12 t=246674
dai wo men 	帶我們	c=1 d=1 t=141212
dai xia shu 	帶下屬	c=1 d=1 t=197198
dai xie 	代寫	c=3 d=1.74344e-157 t=246674
dai xu 	待續	c=1 d=1 t=203438
dai yan ren 	代言人	c=1 d=8.77413e-80 t=246674
dai yi ge 	帶一個	c=1 d=1.05204e-273 t=246674
dai you 	帶有	c=17 d=7.19888e-12 t=246674
